caseid_new,pp5_ppage,pp5_ppagecat,pp5_ppagect4,pp5_ppeduc,pp5_ppeducat,pp5_ppethm,pp5_ppgender,pp5_pphhhead,pp5_pphhsize,pp5_pphouse,pp5_ppincimp,pp5_ppmarit,pp5_ppcmdate_yrmo,pp5_newer,pp5_ppmsacat,pp5_ppreg4,pp5_ppreg9,pp5_pprent,pp5_ppt01,pp5_ppt25,pp5_ppt612,pp5_ppt1317,pp5_ppt18ov,pp5_ppwork,pp5_ppnet,ppmarit_2014,ppcmarit_2014_yrmo,ppmarit_2013,ppcmarit_2013_yrmo,ppmarit_2012,ppcmarit_2012_yrmo,ppmarit_2011,ppcmarit_2011_yrmo,ppmarit_2010,ppcmarit_2010_yrmo,ppmarit_2009,ppcmarit_2009_yrmo,ppmarit_2007,ppcmarit_2007_yrmo
2339381,43,35-44,30-44,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$100,000 to $124,999",Divorced,201404.0,Yes,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,Divorced,201404.0,Married,201305.0,Married,201206.0,Married,201106.0,Married,201007.0,Married,200908.0,Married,200811.0
2340255,31,25-34,30-44,Associate degree,Some college,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$75,000 to $84,999",Never married,201406.0,Yes,non-Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,3,Working - as a paid employee,Yes,Never married,201406.0,Never married,201304.0,Living with partner,201208.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
2342326,37,35-44,30-44,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,3,A one-family house attached to one or more houses,"$75,000 to $84,999",Living with partner,201107.0,No,Metro,Midwest,West-North Central,rented for cash,0,0,1,0,2,Working - as a paid employee,Yes,,,,,,,Living with partner,201107.0,Living with partner,201008.0,Living with partner,200905.0,Living with partner,200712.0
2343271,33,25-34,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$30,000 to $34,999",Separated,201104.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,,,Separated,201104.0,Married,200904.0,Married,200711.0
2344281,34,25-34,30-44,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,4,A one-family house attached to one or more houses,"$150,000 to $174,999",Married,201404.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,1,1,0,0,2,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201207.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
2346453,51,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,2,A mobile home,"$25,000 to $29,999",Divorced,201404.0,Yes,non-Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Divorced,201404.0,Divorced,201305.0,Divorced,201206.0,Divorced,201106.0,Divorced,201007.0,Divorced,200904.0,Divorced,200710.0
2347261,32,25-34,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,4,A one-family house attached to one or more houses,"$125,000 to $149,999",Married,201405.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,2,0,0,2,Working - as a paid employee,Yes,Married,201405.0,Married,201307.0,Married,201207.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200711.0
2348255,31,25-34,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,0,4,A one-family house detached from any other house,"$100,000 to $124,999",Never married,201404.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,4,Working - as a paid employee,Yes,Never married,201404.0,Never married,201305.0,Never married,201206.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200711.0
2349521,57,55-64,45-59,Associate degree,Some college,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"Less than $5,000",Married,201002.0,No,non-Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - other,Yes,,,,,,,,,,,Married,201002.0,Married,200710.0
2350195,25,25-34,18-29,Associate degree,Some college,"White, Non-Hispanic",Female,0,4,A one-family house attached to one or more houses,"$20,000 to $24,999",Living with partner,201007.0,No,Metro,Midwest,East-North Central,rented for cash,0,0,0,0,4,Working - as a paid employee,Yes,,,,,,,,,Living with partner,201007.0,Never married,200904.0,Never married,200710.0
2352296,35,35-44,30-44,"Some college, no degree",Some college,Hispanic,Female,0,3,A building with 2 or more apartments,"$15,000 to $19,999",Widowed,201404.0,Yes,Metro,South,West-South Central,rented for cash,0,0,0,0,3,Working - as a paid employee,Yes,Widowed,201404.0,Widowed,201305.0,Living with partner,201207.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200904.0,Living with partner,200710.0
2353373,43,35-44,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"2+ Races, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$60,000 to $74,999",Divorced,201305.0,No,non-Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,Divorced,201305.0,Divorced,201209.0,Divorced,201109.0,Divorced,201007.0,Living with partner,200904.0,Divorced,200710.0
2354381,43,35-44,30-44,Associate degree,Some college,"White, Non-Hispanic",Male,1,2,A one-family house attached to one or more houses,"$25,000 to $29,999",Married,201405.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Married,201405.0,Married,201305.0,Married,201206.0,Married,201106.0,Married,201005.0,Married,200904.0,Married,200710.0
2355521,58,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,3,A one-family house detached from any other house,"$30,000 to $34,999",Married,201405.0,Yes,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,0,3,Working - as a paid employee,Yes,Married,201405.0,Married,201305.0,Married,201206.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200711.0
2356606,66,65-74,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$100,000 to $124,999",Married,201404.0,Yes,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Married,201404.0,Living with partner,201305.0,Living with partner,201206.0,Living with partner,201106.0,Living with partner,201007.0,Living with partner,200904.0,Living with partner,200710.0
2357772,82,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$35,000 to $39,999",Widowed,200904.0,No,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,Yes,,,,,,,,,,,Widowed,200904.0,Widowed,200710.0
2358331,39,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,4,A one-family house detached from any other house,"$175,000 or more",Married,201309.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,2,0,2,Working - as a paid employee,Yes,,,Married,201309.0,Married,201208.0,Married,201107.0,Married,201101.0,Married,200905.0,Married,200710.0
2359435,49,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,1,A building with 2 or more apartments,"$60,000 to $74,999",Never married,201405.0,Yes,Metro,West,Pacific,rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,Never married,201405.0,Never married,201306.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200711.0
2361411,47,45-54,45-59,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A building with 2 or more apartments,"$100,000 to $124,999",Married,201305.0,No,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,,,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
2362215,27,25-34,18-29,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,0,2,A one-family house detached from any other house,"$100,000 to $124,999",Never married,201107.0,No,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,,,,,,,Never married,201107.0,Never married,201009.0,Never married,200905.0,Never married,200710.0
2363391,44,35-44,30-44,Bachelors degree,Bachelor's degree or higher,Hispanic,Male,1,2,A one-family house detached from any other house,"$85,000 to $99,999",Married,200905.0,No,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,,,,,,,,,,,Married,200905.0,Married,200710.0
2364441,50,45-54,45-59,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$150,000 to $174,999",Married,201404.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - looking for work,Yes,Married,201404.0,Married,201305.0,Married,201207.0,Married,201107.0,Married,201008.0,Married,200904.0,Married,200711.0
2365386,44,35-44,30-44,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$125,000 to $149,999",Married,201305.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Married,201412.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200904.0,Living with partner,200711.0
2366361,42,35-44,30-44,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,4,A one-family house detached from any other house,"$75,000 to $84,999",Married,201405.0,Yes,non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,2,0,0,2,Working - as a paid employee,Yes,Married,201405.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200903.0,Married,200803.0
2367561,62,55-64,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,201404.0,Yes,non-Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,No,Married,201404.0,Married,201305.0,Married,201206.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200710.0
2368446,50,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$75,000 to $84,999",Never married,200904.0,No,non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,,,,,Never married,200904.0,Living with partner,200710.0
2369221,28,25-34,18-29,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,0,5,A one-family house detached from any other house,"$85,000 to $99,999",Living with partner,201405.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,1,2,0,2,Not working - other,Yes,Living with partner,201405.0,Living with partner,201305.0,Divorced,201207.0,Divorced,201107.0,Living with partner,201007.0,Divorced,200904.0,Married,200710.0
2370396,44,35-44,30-44,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$50,000 to $59,999",Living with partner,201405.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Living with partner,201405.0,Living with partner,201306.0,Living with partner,201207.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200905.0,Living with partner,200710.0
2371312,36,35-44,30-44,Masters degree,Bachelor's degree or higher,"Black, Non-Hispanic",Female,1,4,A building with 2 or more apartments,"$35,000 to $39,999",Widowed,201211.0,No,Metro,South,East-South Central,rented for cash,0,0,1,1,2,Working - as a paid employee,Yes,,,,,Widowed,201211.0,Divorced,201108.0,Widowed,201007.0,Widowed,200905.0,Widowed,200711.0
2372802,86,75+,60+,"Some college, no degree",Some college,"2+ Races, Non-Hispanic",Female,1,1,A building with 2 or more apartments,"$25,000 to $29,999",Widowed,201405.0,Yes,Metro,Northeast,Mid-Atlantic,rented for cash,0,0,0,0,1,Not working - retired,No,Widowed,201405.0,Widowed,201305.0,Widowed,201207.0,Widowed,201106.0,Widowed,201007.0,Widowed,200903.0,Widowed,200710.0
2373376,43,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,0,3,A one-family house detached from any other house,"$35,000 to $39,999",Living with partner,200904.0,No,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,0,3,Working - as a paid employee,Yes,,,,,,,,,,,Living with partner,200904.0,Living with partner,200805.0
2374284,34,25-34,30-44,Associate degree,Some college,"Black, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$50,000 to $59,999",Divorced,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,Divorced,201405.0,Divorced,201305.0,Divorced,201206.0,Divorced,201107.0,Divorced,201007.0,Divorced,200904.0,Separated,200710.0
2375675,73,65-74,60+,"Some college, no degree",Some college,"Black, Non-Hispanic",Female,1,1,A building with 2 or more apartments,"$15,000 to $19,999",Never married,200712.0,No,Metro,Northeast,Mid-Atlantic,rented for cash,0,0,0,0,1,Not working - retired,Yes,,,,,,,,,,,,,Never married,200712.0
2376421,47,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,5,A one-family house detached from any other house,"$60,000 to $74,999",Married,200904.0,No,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,1,1,3,Working - as a paid employee,No,,,,,,,,,,,Married,200904.0,Married,200710.0
2377541,59,55-64,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,3,A one-family house detached from any other house,"$60,000 to $74,999",Married,201405.0,Yes,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,0,3,Not working - other,Yes,Married,201405.0,Married,201305.0,Married,201209.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
2378225,28,25-34,18-29,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Male,0,5,A mobile home,"Less than $5,000",Living with partner,201308.0,No,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,0,1,4,Working - as a paid employee,Yes,,,Living with partner,201308.0,Living with partner,201206.0,Living with partner,201108.0,Living with partner,201011.0,Never married,200905.0,Never married,200710.0
2379611,67,65-74,60+,12th grade NO DIPLOMA,Less than high school,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,200904.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,,,,,,,,,,,Married,200904.0,Married,200710.0
2380466,52,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Other, Non-Hispanic",Male,0,2,A building with 2 or more apartments,"$7,500 to $9,999",Never married,200904.0,No,Metro,Midwest,East-North Central,rented for cash,0,0,0,0,2,Not working - disabled,Yes,,,,,,,,,,,Never married,200904.0,Living with partner,200711.0
2381381,44,35-44,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,4,A one-family house detached from any other house,"$60,000 to $74,999",Married,201405.0,Yes,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,2,0,2,Working - as a paid employee,Yes,Married,201405.0,Married,201305.0,Married,201207.0,Married,201107.0,Married,201007.0,Married,200905.0,Married,200712.0
2382301,35,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,5,A one-family house detached from any other house,"$50,000 to $59,999",Married,201306.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,1,2,0,2,Not working - other,Yes,,,Married,201306.0,Married,201208.0,Married,201107.0,Married,201009.0,Married,200904.0,Married,200710.0
2383235,29,25-34,18-29,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,0,5,A one-family house detached from any other house,"$85,000 to $99,999",Never married,201305.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,5,Working - as a paid employee,Yes,,,Never married,201305.0,Never married,201206.0,Never married,201105.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
2386565,62,55-64,60+,"Some college, no degree",Some college,Hispanic,Male,1,1,A building with 2 or more apartments,"$5,000 to $7,499",Never married,200904.0,No,Metro,South,South Atlantic,rented for cash,0,0,0,0,1,Not working - disabled,Yes,,,,,,,,,,,Never married,200904.0,Never married,200710.0
2387473,53,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$60,000 to $74,999",Divorced,200904.0,No,Metro,South,East-South Central,Occupied without payment,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,,,,,Divorced,200904.0,Divorced,200711.0
2388281,34,25-34,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,6,A one-family house detached from any other house,"$100,000 to $124,999",Married,201404.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,2,0,4,Working - as a paid employee,Yes,Married,201404.0,Married,201304.0,Married,201206.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200710.0
2389501,56,55-64,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,4,A one-family house detached from any other house,"$20,000 to $24,999",Married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,4,Working - self-employed,Yes,Married,201405.0,Married,201312.0,Married,201206.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200710.0
2390491,55,55-64,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$175,000 or more",Married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Married,201405.0,Married,201305.0,Married,201207.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
2391402,46,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$12,500 to $14,999",Widowed,201007.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - looking for work,No,,,,,,,,,Widowed,201007.0,Widowed,201002.0,Widowed,200712.0
2392722,77,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,0,2,A one-family house detached from any other house,"$7,500 to $9,999",Widowed,200711.0,No,non-Metro,Midwest,East-North Central,Occupied without payment,0,0,0,0,2,Not working - retired,Yes,,,,,,,,,,,,,Widowed,200711.0
2393341,40,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A building with 2 or more apartments,"$150,000 to $174,999",Married,201404.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200711.0
2394813,87,75+,60+,Bachelors degree,Bachelor's degree or higher,"Black, Non-Hispanic",Male,1,4,A one-family house detached from any other house,"$60,000 to $74,999",Divorced,201305.0,No,Metro,South,West-South Central,rented for cash,0,0,0,0,4,Not working - retired,Yes,,,Divorced,201305.0,Divorced,201207.0,Divorced,201107.0,Divorced,201007.0,Divorced,200904.0,Divorced,200802.0
2395381,44,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,5,A one-family house detached from any other house,"$40,000 to $49,999",Married,201405.0,Yes,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,1,2,0,2,Working - as a paid employee,Yes,,,Married,201405.0,Married,201207.0,Married,201108.0,Married,201010.0,Married,200905.0,Married,200710.0
2396475,53,45-54,45-59,Associate degree,Some college,"Black, Non-Hispanic",Female,1,1,A one-family house attached to one or more houses,"$40,000 to $49,999",Never married,201007.0,No,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,No,,,,,,,,,Never married,201007.0,Never married,200904.0,Never married,200710.0
2397281,34,25-34,30-44,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$85,000 to $99,999",Married,201305.0,No,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,,,Married,201305.0,Married,201208.0,Married,201108.0,Married,201007.0,Married,200904.0,Married,200710.0
2398492,54,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$85,000 to $99,999",Living with partner,201405.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Living with partner,201405.0,Living with partner,201305.0,Living with partner,201210.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200904.0,Widowed,200712.0
2401544,60,55-64,60+,"Some college, no degree",Some college,"Black, Non-Hispanic",Female,1,1,A building with 2 or more apartments,"$7,500 to $9,999",Separated,200904.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - disabled,No,,,,,,,,,,,Separated,200904.0,Separated,200710.0
2402351,41,35-44,30-44,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$125,000 to $149,999",Married,201404.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,1,0,0,2,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200912.0,Married,200710.0
2403491,55,55-64,45-59,Associate degree,Some college,"Other, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,200904.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,,,,,,,,,,,Married,200904.0,Married,200710.0
2404445,50,45-54,45-59,"Some college, no degree",Some college,"2+ Races, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$15,000 to $19,999",Separated,200905.0,No,non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - disabled,No,,,,,,,,,,,Separated,200905.0,Never married,200710.0
2405331,39,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,4,A one-family house detached from any other house,"$75,000 to $84,999",Married,201305.0,No,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,1,1,0,2,Working - self-employed,Yes,,,Married,201305.0,Married,201208.0,Married,201106.0,Married,201007.0,Married,200905.0,Married,200712.0
2406541,60,55-64,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$35,000 to $39,999",Married,201404.0,Yes,non-Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - disabled,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200804.0
2408506,56,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Female,0,2,A one-family house detached from any other house,"$7,500 to $9,999",Separated,201108.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - self-employed,Yes,,,,,,,Separated,201108.0,Separated,201007.0,,,Living with partner,200809.0
2409671,73,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,2,A one-family house attached to one or more houses,"$60,000 to $74,999",Married,200904.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,No,,,,,,,,,,,Married,200904.0,Married,200711.0
2411356,41,35-44,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$60,000 to $74,999",Living with partner,201409.0,Yes,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Living with partner,201409.0,Living with partner,201306.0,Living with partner,201208.0,Living with partner,201107.0,Living with partner,201007.0,Never married,200904.0,Living with partner,200711.0
2412491,55,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,0,2,A one-family house detached from any other house,"$35,000 to $39,999",Married,200904.0,No,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,0,2,Working - self-employed,Yes,,,,,,,,,,,Married,200904.0,Married,200711.0
2413411,47,45-54,45-59,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,4,A one-family house detached from any other house,"$150,000 to $174,999",Married,200904.0,No,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,2,2,Working - as a paid employee,Yes,,,,,,,,,,,Married,200904.0,Married,200806.0
2414511,57,55-64,45-59,11th grade,Less than high school,"White, Non-Hispanic",Female,0,2,A one-family house detached from any other house,"$20,000 to $24,999",Married,200801.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - looking for work,Yes,,,,,,,,,,,,,Married,200801.0
2416571,63,55-64,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,3,A one-family house attached to one or more houses,"$125,000 to $149,999",Married,200710.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,3,Working - as a paid employee,Yes,,,,,,,,,,,,,Married,200710.0
2418245,30,25-34,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,4,A one-family house attached to one or more houses,"$25,000 to $29,999",Never married,200905.0,No,Metro,Northeast,New England,rented for cash,0,0,0,0,4,Working - as a paid employee,Yes,,,,,,,,,,,Never married,200905.0,Never married,200710.0
2419605,66,65-74,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$15,000 to $19,999",Never married,201405.0,Yes,non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - looking for work,No,Never married,201405.0,Never married,201305.0,Never married,201207.0,Never married,201106.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
2420475,52,45-54,45-59,"Some college, no degree",Some college,"2+ Races, Non-Hispanic",Male,0,2,A building with 2 or more apartments,"$100,000 to $124,999",Never married,200904.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - disabled,Yes,,,,,,,,,,,Never married,200904.0,Never married,200710.0
2421673,73,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,1,A mobile home,"$15,000 to $19,999",Divorced,201002.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,No,,,,,,,,,,,Divorced,201002.0,Divorced,200711.0
2422533,59,55-64,45-59,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$85,000 to $99,999",Divorced,200905.0,No,non-Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,,,,,Divorced,200905.0,Divorced,200711.0
