caseid_new,weight1,weight2,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphouseholdsize,pphouse,ppincimp,hhinc,ppmarit,ppmsacat,ppreg4,ppreg9,pprent,ppt01,ppt1317,ppt18ov,ppt25,ppt612,children_in_hh,ppwork,ppnet,ppq14arace,pphispan,pprace_white,pprace_black,pprace_nativeamerican,pprace_asianindian,pprace_chinese,pprace_filipino,pprace_japanese,pprace_korean,pprace_vietnamese,pprace_otherasian,pprace_hawaiian,pprace_guamanian,pprace_samoan,pprace_otherpacificislander,pprace_someotherrace,papglb_friend,pppartyid3,papevangelical,papreligion,ppppcmdate_yrmo,pppadate_yrmo
2395381,66017,66017.0,38,35-44,30-44,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,4,a one-family house detached from any other house,"$25,000 to $29,999",27250.0,married,metro,south,west-south central,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",republican,yes,"other non-christian, please specify:",200710.0,200709.0
2396475,17404,,47,45-54,45-59,associate degree,some college,"2+ races, non-hispanic",female,yes,1,a one-family house attached to one or more houses,"$40,000 to $49,999",45000.0,never married,metro,south,east-south central,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,no,"black, or  african american","no, i am not",no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,yes,baptist-any denomination,200710.0,200709.0
2397281,29524,29524.0,28,25-34,18-29,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$75,000 to $84,999",80000.0,married,metro,west,mountain,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,none,200710.0,200709.0
2398492,4582,4582.0,49,45-54,45-59,"some college, no degree",some college,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$100,000 to $124,999",112250.0,widowed,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - self-employed,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,catholic,200712.0,200712.0
2401544,17954,17954.0,54,45-54,45-59,"some college, no degree",some college,"2+ races, non-hispanic",female,yes,1,a building with 2 or more apartments,"$10,000 to $12,499",11250.0,separated,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - self-employed,no,white,"no, i am not",yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,other christian,200710.0,200709.0
2402351,65420,65420.0,35,35-44,30-44,masters degree,bachelor's degree or higher,"white, non-hispanic",male,yes,2,a one-family house attached to one or more houses,"$85,000 to $99,999",92250.0,married,metro,south,east-south central,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,baptist-any denomination,200710.0,200709.0
2403491,72166,72166.0,49,45-54,45-59,associate degree,some college,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,4,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,none,200710.0,200709.0
2404445,11400,,44,35-44,30-44,"some college, no degree",some college,"2+ races, non-hispanic",male,yes,1,a one-family house detached from any other house,"$15,000 to $19,999",17250.0,never married,non-metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,1,0,0,0,not working - disabled,yes,white,"no, i am not",yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",other,no,"other non-christian, please specify:",200710.0,200710.0
2405331,56756,56756.0,33,25-34,30-44,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,3,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,married,metro,south,east-south central,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - self-employed,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, relatives",republican,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200712.0,200712.0
2406541,71328,71328.0,54,45-54,45-59,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$40,000 to $49,999",45000.0,married,non-metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,not working - disabled,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,yes,baptist-any denomination,200804.0,200805.0
2408506,118251,118251.0,50,45-54,45-59,high school graduate - high school diploma or the equivalent (ged),high school,"black, non-hispanic",female,no,3,a one-family house detached from any other house,"$10,000 to $12,499",11250.0,living with partner,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,5,0,0,0,working - self-employed,no,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,yes,baptist-any denomination,200809.0,200809.0
2409671,55108,55108.0,67,65-74,60+,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",male,yes,2,a one-family house attached to one or more houses,"$60,000 to $74,999",67250.0,married,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,catholic,200711.0,200709.0
2411356,3548,,35,35-44,30-44,"some college, no degree",some college,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$75,000 to $84,999",80000.0,living with partner,metro,south,east-south central,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,yes,baptist-any denomination,200711.0,200709.0
2412491,28525,28525.0,49,45-54,45-59,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,married,metro,west,mountain,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - self-employed,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,catholic,200711.0,200709.0
2413411,73281,73281.0,41,35-44,30-44,professional or doctorate degree,bachelor's degree or higher,"white, non-hispanic",female,yes,4,a one-family house detached from any other house,"$150,000 to $174,999",162250.0,married,metro,west,mountain,owned or being bought by you or someone in your household,1,0,1,0,0,1,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,other christian,200806.0,200806.0
2414511,78391,78391.0,51,45-54,45-59,11th grade,less than high school,"white, non-hispanic",female,no,6,a one-family house detached from any other house,"$20,000 to $24,999",22250.0,married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - looking for work,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,yes,baptist-any denomination,200801.0,200709.0
2416571,48068,48068.0,57,55-64,45-59,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,3,a one-family house attached to one or more houses,"$125,000 to $149,999",137250.0,married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,3,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,none,200710.0,200709.0
2418245,44232,,24,18-24,18-29,"some college, no degree",some college,"white, non-hispanic",female,no,4,a one-family house attached to one or more houses,"$35,000 to $39,999",37250.0,never married,metro,northeast,new england,rented for cash,0,1,3,0,0,1,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,no,other christian,200710.0,200710.0
2419605,61059,,60,55-64,60+,masters degree,bachelor's degree or higher,"white, non-hispanic",male,yes,1,a one-family house detached from any other house,"$35,000 to $39,999",37250.0,never married,non-metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
2420475,47724,,47,45-54,45-59,professional or doctorate degree,bachelor's degree or higher,"2+ races, non-hispanic",male,no,2,a building with 2 or more apartments,"$5,000 to $7,499",6250.0,never married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - disabled,no,white,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,other,no,none,200710.0,200709.0
2421673,81571,,67,65-74,60+,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,1,a mobile home,"$15,000 to $19,999",17250.0,divorced,metro,west,pacific,owned or being bought by you or someone in your household,0,0,1,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200711.0,200709.0
2422533,46317,46317.0,53,45-54,45-59,masters degree,bachelor's degree or higher,"white, non-hispanic",male,yes,1,a one-family house detached from any other house,"$75,000 to $84,999",80000.0,divorced,non-metro,west,mountain,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,catholic,200711.0,200710.0
2423613,57486,57486.0,61,55-64,60+,"some college, no degree",some college,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,divorced,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, relatives",democrat,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
2425596,40259,40259.0,59,55-64,45-59,12th grade no diploma,less than high school,"white, non-hispanic",female,yes,4,a one-family house detached from any other house,"$100,000 to $124,999",112250.0,living with partner,metro,west,mountain,owned or being bought by you or someone in your household,0,0,5,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,none,200710.0,200711.0
2427431,67333,67333.0,43,35-44,30-44,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,no,2,a one-family house attached to one or more houses,"$60,000 to $74,999",67250.0,married,metro,west,mountain,rented for cash,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,none,200710.0,200802.0
2428344,69731,69731.0,34,25-34,30-44,"some college, no degree",some college,hispanic,male,no,2,a building with 2 or more apartments,"$35,000 to $39,999",37250.0,separated,metro,northeast,mid-atlantic,rented for cash,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"yes, caribbean",no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,"yes, friends",democrat,no,none,200710.0,200709.0
2429371,35662,35662.0,37,35-44,30-44,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,3,a one-family house detached from any other house,"$25,000 to $29,999",27250.0,married,metro,south,west-south central,rented for cash,0,0,3,0,0,0,not working - disabled,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,no,catholic,200710.0,200709.0
2430446,8973,8973.0,44,35-44,30-44,"some college, no degree",some college,"white, non-hispanic",male,yes,2,a one-family house attached to one or more houses,"$85,000 to $99,999",92250.0,living with partner,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - looking for work,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200803.0,200710.0
2431491,67034,67034.0,49,45-54,45-59,high school graduate - high school diploma or the equivalent (ged),high school,"black, non-hispanic",female,no,3,a building with 2 or more apartments,"$40,000 to $49,999",45000.0,married,metro,south,east-south central,rented for cash,0,1,2,0,0,1,working - as a paid employee,no,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,yes,baptist-any denomination,200710.0,200710.0
2432195,86736,,19,18-24,18-29,"some college, no degree",some college,"white, non-hispanic",female,no,4,a one-family house detached from any other house,"$175,000 or more",200000.0,never married,metro,west,mountain,owned or being bought by you or someone in your household,0,1,7,0,0,1,not working - other,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",republican,no,mormon,200711.0,200711.0
2433651,126838,126838.0,65,65-74,60+,12th grade no diploma,less than high school,"black, non-hispanic",male,yes,2,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,married,metro,midwest,east-north central,rented for cash,0,0,2,0,0,0,not working - disabled,no,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,no,baptist-any denomination,200710.0,200711.0
2434421,1281,1281.0,42,35-44,30-44,bachelors degree,bachelor's degree or higher,"2+ races, non-hispanic",male,yes,2,a one-family house detached from any other house,"$100,000 to $124,999",112250.0,married,metro,west,pacific,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,some other race,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,"yes, both",democrat,no,other christian,200711.0,200709.0
2435561,3434,3434.0,56,55-64,45-59,associate degree,some college,"white, non-hispanic",male,yes,4,a one-family house detached from any other house,"$75,000 to $84,999",80000.0,married,metro,west,pacific,owned or being bought by you or someone in your household,0,0,5,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,no,none,200711.0,200709.0
2436532,39865,,53,45-54,45-59,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,yes,3,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,widowed,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,3,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,i would prefer to not answer this question,democrat,no,catholic,200711.0,200802.0
2437651,46496,46496.0,65,65-74,60+,"some college, no degree",some college,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$20,000 to $24,999",22250.0,married,metro,south,east-south central,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,yes,baptist-any denomination,200711.0,200709.0
2438411,70143,70143.0,41,35-44,30-44,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",male,yes,6,a one-family house detached from any other house,"$30,000 to $34,999",32250.0,married,metro,west,mountain,owned or being bought by you or someone in your household,0,0,2,1,3,4,not working - disabled,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200712.0,200711.0
2439205,93692,93692.0,20,18-24,18-29,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",male,no,2,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,never married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,3,0,0,0,not working - looking for work,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,catholic,200711.0,200709.0
2440651,23773,23773.0,65,65-74,60+,7th or 8th grade,less than high school,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,3,3,0,1,4,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
2441515,59132,,51,45-54,45-59,"some college, no degree",some college,"white, non-hispanic",male,yes,1,a one-family house detached from any other house,"$15,000 to $19,999",17250.0,never married,metro,northeast,mid-atlantic,rented for cash,0,0,3,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,catholic,200710.0,200709.0
2442581,57020,57020.0,58,55-64,45-59,associate degree,some college,"white, non-hispanic",female,yes,4,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - self-employed,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,yes,baptist-any denomination,200712.0,200712.0
2443653,113426,,65,65-74,60+,high school graduate - high school diploma or the equivalent (ged),high school,"black, non-hispanic",female,yes,1,a building with 2 or more apartments,"$15,000 to $19,999",17250.0,divorced,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,1,0,0,0,not working - disabled,no,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,yes,baptist-any denomination,200710.0,200712.0
2445575,1450,,57,55-64,45-59,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,1,a one-family house detached from any other house,"$40,000 to $49,999",45000.0,never married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,not working - on temporary layoff from a job,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, relatives",democrat,no,none,200809.0,200809.0
2448445,61886,,44,35-44,30-44,"some college, no degree",some college,"white, non-hispanic",female,yes,3,a one-family house detached from any other house,"$85,000 to $99,999",92250.0,never married,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200710.0
2449225,52259,52259.0,22,18-24,18-29,"some college, no degree",some college,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$40,000 to $49,999",45000.0,never married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,5,0,2,2,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,none,200710.0,200710.0
2451281,73061,73061.0,28,25-34,18-29,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",republican,yes,other christian,200711.0,200709.0
2453455,11782,11782.0,45,45-54,45-59,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",male,yes,1,a one-family house detached from any other house,"$30,000 to $34,999",32250.0,never married,metro,south,south atlantic,rented for cash,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, relatives",democrat,no,pentecostal,200901.0,200709.0
2457561,36097,36097.0,56,55-64,45-59,"some college, no degree",some college,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,catholic,200711.0,200712.0
2459583,36360,,58,55-64,45-59,"some college, no degree",some college,"white, non-hispanic",female,yes,1,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,divorced,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",other,no,other christian,200711.0,200711.0
2460536,33038,33038.0,53,45-54,45-59,bachelors degree,bachelor's degree or higher,hispanic,female,yes,4,a one-family house detached from any other house,"$85,000 to $99,999",92250.0,living with partner,non-metro,northeast,new england,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,no,not asked,"yes, puerto rican",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,none,200711.0,200709.0
2461521,41783,41783.0,52,45-54,45-59,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,3,a one-family house detached from any other house,"$175,000 or more",200000.0,married,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,3,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",republican,no,catholic,200807.0,200807.0
2462533,251360,251360.0,53,45-54,45-59,12th grade no diploma,less than high school,"other, non-hispanic",male,yes,1,a building with 2 or more apartments,"$7,500 to $9,999",8750.0,divorced,non-metro,midwest,east-north central,rented for cash,0,0,1,0,0,0,not working - disabled,yes,not asked,"no, i am not",no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,yes,baptist-any denomination,200710.0,200709.0
2463495,87110,87110.0,49,45-54,45-59,"some college, no degree",some college,"black, non-hispanic",male,yes,1,a mobile home,"$25,000 to $29,999",27250.0,never married,non-metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,no,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,yes,baptist-any denomination,200710.0,200709.0
2464481,19151,19151.0,48,45-54,45-59,"some college, no degree",some college,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$40,000 to $49,999",45000.0,married,non-metro,south,east-south central,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,baptist-any denomination,200711.0,200802.0
2465606,6440,6440.0,60,55-64,60+,professional or doctorate degree,bachelor's degree or higher,"black, non-hispanic",female,yes,2,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,living with partner,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,no,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,baptist-any denomination,200710.0,200710.0
2466445,139267,139267.0,44,35-44,30-44,high school graduate - high school diploma or the equivalent (ged),high school,"black, non-hispanic",female,yes,1,a building with 2 or more apartments,"$25,000 to $29,999",27250.0,never married,metro,northeast,mid-atlantic,rented for cash,0,0,1,0,0,0,working - as a paid employee,no,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,baptist-any denomination,200710.0,200709.0
2468481,121103,121103.0,48,45-54,45-59,high school graduate - high school diploma or the equivalent (ged),high school,"black, non-hispanic",male,yes,4,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,2,2,0,0,2,working - as a paid employee,yes,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,i would prefer to not answer this question,democrat,yes,baptist-any denomination,200710.0,200709.0
2469285,60722,,28,25-34,18-29,"some college, no degree",some college,"white, non-hispanic",male,no,2,a building with 2 or more apartments,"$75,000 to $84,999",80000.0,never married,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",republican,no,other christian,200710.0,200709.0
2470335,61613,61613.0,33,25-34,30-44,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,no,1,a one-family house detached from any other house,"$35,000 to $39,999",37250.0,never married,metro,midwest,east-north central,rented for cash,0,0,1,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200711.0,200712.0
2471586,264379,264379.0,58,55-64,45-59,"some college, no degree",some college,"white, non-hispanic",male,no,2,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,living with partner,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,catholic,200711.0,200712.0
2472495,31476,31476.0,49,45-54,45-59,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,no,3,a building with 2 or more apartments,"$30,000 to $34,999",32250.0,never married,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,no,none,200710.0,200709.0
2473591,3403,3403.0,59,55-64,45-59,associate degree,some college,"black, non-hispanic",female,yes,2,a building with 2 or more apartments,"$35,000 to $39,999",37250.0,married,metro,south,south atlantic,rented for cash,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,yes,baptist-any denomination,200711.0,200709.0
2475455,58154,,45,45-54,45-59,"some college, no degree",some college,"white, non-hispanic",male,no,2,a one-family house detached from any other house,"$40,000 to $49,999",45000.0,never married,metro,west,mountain,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
2476633,40476,,63,55-64,60+,"some college, no degree",some college,"white, non-hispanic",female,yes,1,a one-family house detached from any other house,"$30,000 to $34,999",32250.0,divorced,non-metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200711.0,200709.0
2477722,97946,,72,65-74,60+,12th grade no diploma,less than high school,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$12,500 to $14,999",13750.0,widowed,non-metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - disabled,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
2478401,32858,32858.0,40,35-44,30-44,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,5,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,married,non-metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,2,1,2,3,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,no,catholic,200710.0,200709.0
2479313,54546,54546.0,31,25-34,30-44,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,4,a one-family house detached from any other house,"$125,000 to $149,999",137250.0,divorced,metro,south,west-south central,owned or being bought by you or someone in your household,0,0,3,0,1,1,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",republican,yes,baptist-any denomination,200805.0,200805.0
