caseid_new,pp4_ppeduc,pp4_ppeducat,pp4_ppethm,pp4_pphhhead,pp4_pphhsize,pp4_pphouse,pp4_ppincimp,pp4_ppmarit,pp4_ppmsacat,pp4_ppreg4,pp4_ppreg9,pp4_pprent,pp4_ppt01,pp4_ppt25,pp4_ppt612,pp4_ppt1317,pp4_ppt18ov,pp4_ppwork,pp4_ppnet,pp4_ppcmdate_yrmo,pp4_newer,ppa2009_services_yrmo,ppa2009_how_often_services
2568441,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$50,000 to $59,999",Married,Non-Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,4,Working - as a paid employee,Yes,201305.0,Yes,200906.0,Once a week
2569551,Bachelors degree,Bachelor's degree or higher,"Black, Non-Hispanic",Yes,3,A building with 2 or more apartments,"$35,000 to $39,999",Married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,3,Not working - looking for work,Yes,201305.0,Yes,200903.0,Once or twice a month
2570381,Bachelors degree,Bachelor's degree or higher,"Black, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,1,3,Working - as a paid employee,Yes,201206.0,Yes,200909.0,More than once a week
2571245,Bachelors degree,Bachelor's degree or higher,"Black, Non-Hispanic",Yes,3,A building with 2 or more apartments,"$15,000 to $19,999",Never married,Metro,South,West-South Central,Rented for cash,0,0,2,0,1,Working - as a paid employee,Yes,201210.0,Yes,200902.0,Once or twice a month
2572435,"Some college, no degree",Some college,"Black, Non-Hispanic",No,1,A one-family house detached from any other house,"$75,000 to $84,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,200904.0,No,200903.0,
2573485,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$50,000 to $59,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,200905.0,No,200903.0,A few times a year
2574515,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$50,000 to $59,999",Never married,Metro,South,West-South Central,Rented for cash,0,0,0,0,1,Working - as a paid employee,No,201007.0,No,200903.0,A few times a year
2575643,Associate degree,Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$40,000 to $49,999",Divorced,Metro,Midwest,West-North Central,Rented for cash,0,0,0,0,1,Working - as a paid employee,No,201305.0,Yes,200905.0,Once or twice a month
2576465,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$175,000 or more",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201308.0,Yes,200903.0,Never
2577576,Associate degree,Some college,"White, Non-Hispanic",No,2,A building with 2 or more apartments,"$75,000 to $84,999",Living with partner,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,2,Not working - disabled,Yes,200904.0,No,200905.0,Once a year or less
2578613,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",No,3,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once or twice a month
2579435,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$15,000 to $19,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - disabled,Yes,201007.0,No,201001.0,
2581443,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$40,000 to $49,999",Divorced,Metro,West,Pacific,Rented for cash,0,0,0,0,1,Not working - on temporary layoff from a job,Yes,201107.0,No,200903.0,Once or twice a month
2582441,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,4,A one-family house attached to one or more houses,"$50,000 to $59,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,2,0,2,Working - self-employed,Yes,200801.0,No,200811.0,
2583291,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201008.0,No,200903.0,
2585571,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$35,000 to $39,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - on temporary layoff from a job,Yes,201305.0,Yes,200903.0,
2586593,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,1,A building with 2 or more apartments,"$30,000 to $34,999",Divorced,Metro,West,Mountain,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201007.0,No,200903.0,Never
2587515,Bachelors degree,Bachelor's degree or higher,"Other, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$30,000 to $34,999",Never married,Metro,West,Pacific,Rented for cash,0,0,0,0,1,Working - as a paid employee,No,201107.0,No,200902.0,
2588496,"Some college, no degree",Some college,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$30,000 to $34,999",Living with partner,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - disabled,Yes,201306.0,Yes,200903.0,
2589535,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$85,000 to $99,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201211.0,Yes,200905.0,
2590683,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$30,000 to $34,999",Divorced,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,201305.0,Yes,200903.0,Once a week
2591556,"Some college, no degree",Some college,Hispanic,Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Never married,Non-Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,Yes,201305.0,Yes,200903.0,
2593555,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$10,000 to $12,499",Never married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - looking for work,Yes,200904.0,No,200903.0,More than once a week
2594431,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,2,"Boat, RV, van, etc.","$10,000 to $12,499",Living with partner,Metro,Northeast,Mid-Atlantic,Occupied without payment of cash rent,0,0,0,0,2,Working - self-employed,Yes,201305.0,Yes,200903.0,Once a year or less
2595533,Associate degree,Some college,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$75,000 to $84,999",Living with partner,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,1,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once or twice a month
2596391,Bachelors degree,Bachelor's degree or higher,Hispanic,Yes,2,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201308.0,Yes,200902.0,A few times a year
2597631,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201307.0,Yes,200907.0,Once a week
2598385,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$25,000 to $29,999",Never married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200902.0,Once a week
2599575,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$40,000 to $49,999",Never married,Non-Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,200904.0,No,200903.0,
2600415,Associate degree,Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$60,000 to $74,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201107.0,No,200905.0,
2602436,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Living with partner,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,Yes,201305.0,Yes,200905.0,Once a year or less
2603411,11th grade,Less than high school,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$25,000 to $29,999",Married,Non-Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,1,3,Working - as a paid employee,Yes,201305.0,Yes,200902.0,Once or twice a month
2604475,Associate degree,Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$30,000 to $34,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,No,201206.0,Yes,200905.0,
2605456,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$50,000 to $59,999",Living with partner,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,2,Not working - disabled,Yes,201305.0,Yes,200904.0,Once a year or less
2606331,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Yes,4,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,1,1,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,More than once a week
2607495,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$125,000 to $149,999",Never married,Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,200904.0,No,200903.0,Once a year or less
2608691,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A mobile home,"$40,000 to $49,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,200904.0,No,200903.0,A few times a year
2609225,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,3,A building with 2 or more apartments,"$60,000 to $74,999",Married,Metro,West,Pacific,Rented for cash,1,0,0,0,2,Not working - other,Yes,201305.0,Yes,200903.0,More than once a week
2610465,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$20,000 to $24,999",Never married,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,2,Not working - other,No,201305.0,Yes,200903.0,A few times a year
2611571,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$25,000 to $29,999",Married,Non-Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201309.0,Yes,201003.0,Never
2613456,"Some college, no degree",Some college,"2+ Races, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$12,500 to $14,999",Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,No,200904.0,No,200903.0,Once a year or less
2614361,"Some college, no degree",Some college,Hispanic,Yes,2,A building with 2 or more apartments,"$75,000 to $84,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a year or less
2615546,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$10,000 to $12,499",Living with partner,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - disabled,Yes,201305.0,Yes,200903.0,Once a year or less
2616381,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,1,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200904.0,
2617245,Associate degree,Some college,"White, Non-Hispanic",No,1,A one-family house detached from any other house,"$175,000 or more",Living with partner,Non-Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201207.0,Yes,200902.0,Never
2618441,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Non-Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a year or less
2619511,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a week
2620791,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,200904.0,No,200910.0,More than once a week
2621593,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$40,000 to $49,999",Divorced,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,No,201305.0,Yes,200903.0,Once a year or less
2622321,Bachelors degree,Bachelor's degree or higher,Hispanic,Yes,4,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,2,0,0,2,Working - as a paid employee,Yes,201107.0,No,200903.0,Once or twice a month
2624575,Masters degree,Bachelor's degree or higher,Hispanic,Yes,1,A building with 2 or more apartments,"$60,000 to $74,999",Divorced,Metro,West,Pacific,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a year or less
2625586,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,Yes,201306.0,Yes,200905.0,
2628565,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$25,000 to $29,999",Never married,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,No,201305.0,Yes,200902.0,Once a year or less
2629351,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$30,000 to $34,999",Married,Non-Metro,West,Pacific,Rented for cash,0,0,0,0,4,Not working - disabled,Yes,200805.0,No,200809.0,
2630582,12th grade NO DIPLOMA,Less than high school,"Black, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$35,000 to $39,999",Widowed,Metro,South,South Atlantic,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200902.0,Once a week
2631603,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A mobile home,"$50,000 to $59,999",Widowed,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200904.0,Once a year or less
2632351,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,3,A one-family house detached from any other house,"$25,000 to $29,999",Separated,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,3,Not working - looking for work,No,201107.0,No,200903.0,
2633215,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",No,3,A one-family house detached from any other house,"$85,000 to $99,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,201208.0,Yes,200902.0,Once a week
2634401,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,2,2,Working - as a paid employee,Yes,201306.0,Yes,200903.0,More than once a week
2635305,Bachelors degree,Bachelor's degree or higher,Hispanic,No,3,A one-family house detached from any other house,"$40,000 to $49,999",Never married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,200904.0,No,200903.0,Once a week
2636625,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$100,000 to $124,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,No,201305.0,Yes,200903.0,More than once a week
2637661,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201306.0,Yes,200903.0,Once a week
2638581,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$75,000 to $84,999",Divorced,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,
2639255,Bachelors degree,Bachelor's degree or higher,"Other, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$75,000 to $84,999",Married,Metro,West,Mountain,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201207.0,Yes,200902.0,A few times a year
2640441,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,1,2,Working - self-employed,Yes,201109.0,No,200903.0,A few times a year
2641401,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,1,1,2,Working - self-employed,Yes,201209.0,Yes,200903.0,Once a week
2642411,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201008.0,No,200903.0,Never
2643741,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201305.0,Yes,200903.0,Once a week
2644693,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$15,000 to $19,999",Divorced,Non-Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - self-employed,Yes,201304.0,Yes,200903.0,More than once a week
2645415,"Some college, no degree",Some college,"Other, Non-Hispanic",Yes,2,A mobile home,"$100,000 to $124,999",Never married,Non-Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,200904.0,No,200903.0,Never
2646385,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$50,000 to $59,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201107.0,No,200903.0,Once a year or less
2648596,Associate degree,Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$15,000 to $19,999",Living with partner,Non-Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - disabled,Yes,201305.0,Yes,200904.0,Never
2649375,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$60,000 to $74,999",Never married,Metro,West,Pacific,Rented for cash,0,0,0,0,3,Working - as a paid employee,Yes,200604.0,No,,
2650431,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,4,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,2,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Never
2651661,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$30,000 to $34,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,200907.0,No,200906.0,Once a week
2652493,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"Less than $5,000",Divorced,Metro,West,Pacific,Rented for cash,0,0,0,0,1,Not working - other,No,201308.0,Yes,200902.0,A few times a year
2654745,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$30,000 to $34,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,200602.0,No,,
2655275,"Some college, no degree",Some college,"White, Non-Hispanic",No,1,A one-family house detached from any other house,"$30,000 to $34,999",Never married,Metro,West,Pacific,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,200603.0,No,,
2656616,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$125,000 to $149,999",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,200904.0,No,200903.0,Never
2657451,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,5,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,5,Working - as a paid employee,Yes,200806.0,No,200902.0,A few times a year
2658662,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$25,000 to $29,999",Widowed,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - other,Yes,201007.0,No,200904.0,Never
2660401,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$40,000 to $49,999",Married,Non-Metro,Midwest,,Owned or being bought by you or someone in your household,0,1,1,0,2,Working - self-employed,Yes,200911.0,No,200903.0,More than once a week
2662482,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$5,000 to $7,499",Widowed,Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Not working - disabled,No,201305.0,Yes,200903.0,Once a week
2664241,Associate degree,Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Never
2666271,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$7,500 to $9,999",Married,Non-Metro,West,Mountain,Rented for cash,0,0,1,0,1,Working - as a paid employee,Yes,200602.0,No,,
2667431,Associate degree,Some college,Hispanic,Yes,4,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,4,Not working - disabled,Yes,201308.0,Yes,200902.0,A few times a year
2668501,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Yes,3,A one-family house attached to one or more houses,"$50,000 to $59,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,3,Not working - disabled,Yes,201007.0,No,200903.0,More than once a week
2670301,Bachelors degree,Bachelor's degree or higher,Hispanic,Yes,3,A building with 2 or more apartments,"$75,000 to $84,999",Married,Metro,West,Pacific,Rented for cash,0,0,1,0,2,Not working - looking for work,Yes,200904.0,No,200902.0,Once a week
2671845,Masters degree,Bachelor's degree or higher,"Black, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$60,000 to $74,999",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Not working - retired,Yes,200907.0,No,200907.0,Never
2672556,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$25,000 to $29,999",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201306.0,Yes,200902.0,
2673591,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - other,Yes,200904.0,No,200903.0,Never
2674225,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Never married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201212.0,Yes,200903.0,Once a week
2676722,7th or 8th grade,Less than high school,"White, Non-Hispanic",Yes,1,A mobile home,"$5,000 to $7,499",Widowed,Non-Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - disabled,Yes,200912.0,No,200903.0,Once or twice a month
2677431,Associate degree,Some college,"Other, Non-Hispanic",Yes,4,A one-family house attached to one or more houses,"$20,000 to $24,999",Married,Metro,West,Pacific,Rented for cash,0,0,0,2,2,Not working - other,No,200904.0,No,200903.0,
2678485,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$100,000 to $124,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,200602.0,No,,
2679701,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201306.0,Yes,200903.0,
2680453,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$75,000 to $84,999",Divorced,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,200904.0,No,200903.0,Never
2681396,"Some college, no degree",Some college,"White, Non-Hispanic",No,4,A one-family house detached from any other house,"$60,000 to $74,999",Living with partner,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,1,3,Working - as a paid employee,Yes,200904.0,No,200902.0,Never
2682456,Associate degree,Some college,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$75,000 to $84,999",Living with partner,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,2,0,2,Working - as a paid employee,Yes,201308.0,Yes,200902.0,More than once a week
